message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\$\Q$k\E' at offset 4. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '
      `[^`]*? # The opening backtick on a plugin path
      ([[[:alnum:]]_+-]+?) # The plugin name
      (- ([[:xdigit:]]+ | ' at offset 126. Not enough )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '#.*\Q$keyword\E isa ($CLASS)' at offset 5. Unrecognized escape sequence \\Q.
Invalid pattern 'DeviceID: (?P<deviceID>[0-9]+)' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '""(?P<Major>\d*?)\.(?P<Minor>\d*?)\.(?P<Patch>\d*?)""' at offset 4. Unrecognized grouping construct."
Invalid pattern '(?=\P{sc=Adlm})\p{scx=Adlm}' at offset 9. Incomplete \\p{X} character escape.
Invalid pattern '^[ \t]*(-|\*\**|\u2022)[ \t]+(' at offset 30. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\Q$start\E\s*(.*?)\s*\Q$stop\E' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '(<S>[Aa]r<\/S> <D>(?:\x{e1}r|bhur|a)<\/D> <E[^>]*><N pl=""n"" gnt=""n"">[Ss]on<\/N><\/E>)' at offset 24. Insufficient hexadecimal digits."
Invalid pattern '\pN' at offset 2. Incomplete \\p{X} character escape.
Invalid pattern '\Q$self->{ldap_inseparator}\E' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '$prefix\K\b$regex\b' at offset 9. Unrecognized escape sequence \\K.
Object reference not set to an instance of an object.
"Invalid pattern '
    (?<!\?)     #if no preceding escape (?)
    '           #apostrophe
    (?![
])  #if no following CR of LF
    ' at offset 43. Quantifier {x,y} following nothing."
Invalid pattern 'firstInstallTime=(?P<time>.*)' at offset 20. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(d+\/(\d+)' at offset 10. Not enough )'s.
Invalid pattern '^\Q$dir\E([/\\]?.*)' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?P<msec>^0?\.\d+) (?P<sec>\d+)$' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[\x{9}\x{A}\x{D}\x{20}-\x{7E}\x{A0}-\x{D7FF}\x{E000}-\x{FFFD}\x{10000}-\x{10FFFF}]*$' at offset 5. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '`[^`]*+`|""(?:[^""\\]++|\\.)*+""|'(?:[^'\\]++|\\.)*+'|(\?)|:(\w++)' at offset 7. Nested quantifier '+'."
Invalid pattern '\x{0637}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '(?<gefr??ig>x)' at offset 7. Invalid group name: Group names must begin with a word character.
Invalid pattern '(.*/\..*)|(.*[a-f0-9]{8}+$)|(.*\.tmp$)|(.*atmp[0-9]+$)|(.*\.wbk$)|(.*\.bak$)|(.*\~$)|(.*backup.*\.do[ct]{1}[x]?[m]?$)|(.*\.sb\-\w{8}\-\w{6}$)' at offset 25. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\x{A0}+' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
